,职位名,链接,公司,工作地点,薪资,经验,学历,工作地点(城市),薪资(统一月薪元)
155,数据分析师/算法分析师,http://jobs.51job.com/beijing-cyq/91399661.html?s=01&t=0,北京蛙鸣华清环保科技有限公司,北京-朝阳区,0.8-1.5万/月,3-4年经验,,北京,11500.0
156,急招数据分析师（应届生也可以）,http://jobs.51job.com/guangzhou-thq/86909420.html?s=01&t=0,广州智棽科技服务有限公司,广州-天河区,6-8千/月,,大专,广州,7000.0
157,数据分析师（商场运营方向）,http://jobs.51job.com/guangzhou-byq/88042342.html?s=01&t=0,广东安华美博置业集团有限公司,广州-白云区,5.8-8千/月,5-7年经验,大专,广州,6900.0
158,商品数据分析,http://jobs.51job.com/guangzhou/92193706.html?s=01&t=0,广东美营服饰有限责任公司,广州,4.5-5.5千/月,,,广州,5000.0
159,数据分析师,http://jobs.51job.com/chengdu-gxq/83184942.html?s=01&t=0,成都厚立信息技术有限公司,成都-高新区,0.8-1万/月,3-4年经验,本科,成都,9000.0
160,招标数据分析,http://jobs.51job.com/xian-gxjs/91830041.html?s=01&t=0,西安力邦医药经销有限责任公司,西安-高新技术...,3-4.5千/月,2年经验,大专,西安,3750.0
161,数据分析,http://jobs.51job.com/chengdu-gxq/73171863.html?s=01&t=0,成都星购途信息技术有限公司,成都-高新区,0.5-1万/月,2年经验,大专,成都,7500.0
162,助理数据分析师,http://jobs.51job.com/shanghai-pdxq/87819463.html?s=01&t=0,成都正合联众网络科技有限公司,上海-浦东新区,4-8千/月,无工作经验,本科,上海,6000.0
163,数据分析师,http://jobs.51job.com/shanghai-hkq/92202217.html?s=01&t=0,上海冠优网络科技有限公司,上海-虹口区,6-8千/月,无工作经验,本科,上海,7000.0
164,商务助理（数据分析）,http://jobs.51job.com/guangzhou/91240067.html?s=01&t=0,中国邮电器材深圳公司,广州,4-6千/月,,大专,广州,5000.0
165,大数据分析（实习生）,http://jobs.51job.com/yancheng/84058108.html?s=01&t=0,南京坦道信息科技有限公司,盐城,2-3千/月,,本科,盐城,2500.0
166,BI数据分析,http://jobs.51job.com/shanghai-pdxq/87332653.html?s=01&t=0,上海汇纳信息科技股份有限公司,上海-浦东新区,1-1.5万/月,3-4年经验,本科,上海,12500.0
167,工银瑞信 数据分析,http://jobs.51job.com/beijing-xcq/91851084.html?s=01&t=0,北京网讯通达软件技术有限公司,北京-西城区,6-8千/月,2年经验,本科,北京,7000.0
168,数据分析专员（周末双休）,http://jobs.51job.com/wuhan-jhq/90559669.html?s=01&t=0,武汉链家宏业房地产经纪有限公司,武汉-江汉区,3.5-5.5千/月,1年经验,,武汉,4500.0
169,数据分析工程师,http://jobs.51job.com/hangzhou-bjq/73364064.html?s=01&t=0,上海泛宇信息技术有限公司,杭州-滨江区,4.5-7千/月,1年经验,大专,杭州,5750.0
170,DS（数据分析师）,http://jobs.51job.com/chengdu/88618739.html?s=01&t=0,全友家私有限公司,成都,4-8千/月,1年经验,,成都,6000.0
171,调研数据分析经理,http://jobs.51job.com/shanghai-jdq/92198052.html?s=01&t=0,上海太太乐食品有限公司,上海-嘉定区,0.8-1.2万/月,3-4年经验,本科,上海,10000.0
172,业务分析 销售数据分析 市场分析 高级战略经理,http://jobs.51job.com/shenzhen-nsq/90191080.html?s=01&t=0,深圳来电科技有限公司,深圳-南山区,1.5-2.5万/月,5-7年经验,本科,深圳,20000.0
173,数据分析工程师,http://jobs.51job.com/hangzhou/73370123.html?s=01&t=0,杭州海络信息技术有限公司,杭州,4-7千/月,1年经验,大专,杭州,5500.0
174,数据分析师（底薪8000+季度奖金+五险一金）,http://jobs.51job.com/guangzhou/92342095.html?s=01&t=0,广州和晟实业投资有限公司,广州,0.8-1.6万/月,,高中,广州,12000.0
175,淘宝数据分析,http://jobs.51job.com/shanghai-zbq/66773358.html?s=01&t=0,上海希和商贸有限公司,上海-闸北区,5-7千/月,1年经验,中专,上海,6000.0
176,数据分析师,http://jobs.51job.com/shenzhen/91230983.html?s=01&t=0,深圳排队网络技术有限公司,深圳,0.8-1万/月,1年经验,本科,深圳,9000.0
177,数据分析专员,http://jobs.51job.com/shenzhen-nsq/77874763.html?s=01&t=0,深圳友宝科斯科技有限公司,深圳-南山区,4.5-6千/月,,,深圳,5250.0
178,数据分析员,http://jobs.51job.com/shenzhen-ftq/62317802.html?s=01&t=0,深圳市泰利兴集团有限公司,深圳-福田区,4.5-8千/月,,大专,深圳,6250.0
179,数据分析,http://jobs.51job.com/nanchong/89371920.html?s=01&t=0,北京王府井购物中心管理有限责任公司,南充,3.5-5千/月,,,南充,4250.0
180,数据分析员/统计/对账,http://jobs.51job.com/nanjing/91329273.html?s=01&t=0,南京爱朗品牌管理有限公司,南京,3-4.5千/月,,,南京,3750.0
181,数据分析专员,http://jobs.51job.com/shanghai/84488553.html?s=01&t=0,欧尚（中国）投资有限公司,上海,4.5-6千/月,,,上海,5250.0
182,大数据分析专员,http://jobs.51job.com/xian-gxjs/89527024.html?s=01&t=0,北京华清远见科技发展有限公司西安分公司,西安-高新技术...,4.5-6千/月,,大专,西安,5250.0
183,数据分析工程师,http://jobs.51job.com/suzhou/89028706.html?s=01&t=0,苏州阿特斯阳光能源科技有限公司,苏州,5-7千/月,2年经验,本科,苏州,6000.0
184,数据分析专员,http://jobs.51job.com/guangzhou-thq/84747746.html?s=01&t=0,大金（中国）投资有限公司广州分公司,广州-天河区,4.5-6千/月,1年经验,大专,广州,5250.0
185,数据分析师,http://jobs.51job.com/guangzhou-hdq/83480226.html?s=01&t=0,广州速鸽国际贸易有限公司,广州-花都区,4.5-6千/月,1年经验,大专,广州,5250.0
186,数据分析专员/市场助理,http://jobs.51job.com/shanghai-mhq/91536468.html?s=01&t=0,上海思致汽车工程技术有限公司,上海-闵行区,4.5-6千/月,2年经验,本科,上海,5250.0
187,数据分析员,http://jobs.51job.com/kunshan/92042444.html?s=01&t=0,江苏华时新天网络科技有限公司,异地招聘,3.5-5千/月,1年经验,,异地招聘,4250.0
188,数据分析员,http://jobs.51job.com/wuxi/82427144.html?s=01&t=0,无锡金蕉叶服饰有限公司,无锡,2-3千/月,1年经验,大专,无锡,2500.0
189,项目客服/数据分析/物流专员,http://jobs.51job.com/shanghai/78382845.html?s=01&t=0,上海亮锋物流有限公司,上海,4.5-6千/月,2年经验,,上海,5250.0
190,法律数据分析师,http://jobs.51job.com/fuzhou/87690459.html?s=01&t=0,北京法意科技有限公司福州分公司,福州,0.5-1万/月,,本科,福州,7500.0
191,数据分析师,http://jobs.51job.com/hefei/89251524.html?s=01&t=0,安徽富驰信息技术有限公司,合肥,0.8-1万/月,,本科,合肥,9000.0
192,数据分析（代理招聘，base七宝）,http://jobs.51job.com/shanghai-mhq/90781436.html?s=01&t=0,天天果园,上海-闵行区,0.7-1.2万/月,,,上海,9500.0
193,数据分析实习生,http://jobs.51job.com/nanjing/92284720.html?s=01&t=0,南京易充电动汽车服务有限公司,南京,1.5-2千/月,无工作经验,,南京,1750.0
194,数据分析师,http://jobs.51job.com/xian-gxjs/86203484.html?s=01&t=0,陕西纳吉特数据科技有限公司,西安-高新技术...,4.5-6千/月,,,西安,5250.0
195,数据分析师/数据挖掘（研发方向）,http://jobs.51job.com/guangzhou-hzq/79889715.html?s=01&t=0,广州云湾信息技术有限公司,广州-海珠区,1.5-2万/月,,本科,广州,17500.0
196,高级游戏数据分析师,http://jobs.51job.com/fuzhou/82751638.html?s=01&t=0,福州云顶网络科技有限公司,异地招聘,0.8-1.5万/月,,,异地招聘,11500.0
197,数据分析师,http://jobs.51job.com/chongqing/91219012.html?s=01&t=0,唯爱思（重庆）软件系统有限公司,重庆,3.5-6千/月,2年经验,本科,重庆,4750.0
198,急聘客服经理助理  数据分析助理,http://jobs.51job.com/shenzhen-lgq/89784789.html?s=01&t=0,深圳市巨拓科技有限公司,深圳-龙岗区,5-8千/月,,,深圳,6500.0
199,数据分析专员（电子商务）,http://jobs.51job.com/beijing-dxq/92344884.html?s=01&t=0,北京科瑞智达科技有限公司,北京-大兴区,3.5-6千/月,2年经验,中技,北京,4750.0
200,游戏数据分析师,http://jobs.51job.com/beijing-cyq/89085194.html?s=01&t=0,完美世界（北京）总部/完美时空,北京-朝阳区,1-2万/月,1年经验,本科,北京,15000.0
201,集团客户体验-数据分析专家-CCO决策管理中心,http://jobs.51job.com/hangzhou/92500387.html?s=01&t=0,阿里巴巴集团,杭州,,3-4年经验,本科,杭州,
202,首席数据分析师,http://jobs.51job.com/beijing/92483183.html?s=01&t=0,绫致时装（天津）有限公司,北京,2.5-3万/月,,,北京,27500.0
203,数据分析工程师,http://jobs.51job.com/shanghai-mhq/91872020.html?s=01&t=0,广州市德智福贸易有限公司,上海-闵行区,4.5-6.5千/月,,大专,上海,5500.0
204,数据分析师/实习生（双休+五险一金）,http://jobs.51job.com/changsha-ylq/92510414.html?s=01&t=0,湖南搜云网络科技股份有限公司,长沙-岳麓区,3-4.5千/月,1年经验,,长沙,3750.0
205,数据分析顾问,http://jobs.51job.com/guangzhou/82673652.html?s=01&t=0,上海汉得信息技术股份有限公司,广州,1-1.5万/月,,,广州,12500.0
206,数据分析员（量化金融方向）,http://jobs.51job.com/zhanjiang/92514263.html?s=01&t=0,湛江方浩投资咨询有限公司,湛江,0.5-1.2万/月,,本科,湛江,8500.0
207,结算专员/数据分析员,http://jobs.51job.com/guangzhou-thq/92511680.html?s=01&t=0,店商互联（广州）科技发展有限公司,广州-天河区,4-6千/月,2年经验,大专,广州,5000.0
208,数据分析助理,http://jobs.51job.com/changsha/92511504.html?s=01&t=0,湖南赤玉南红电子商务有限公司,长沙,3.5-8千/月,,,长沙,5750.0
209,数据分析,http://jobs.51job.com/chengdu-gxq/92510604.html?s=01&t=0,货车帮,成都-高新区,0.8-1万/月,3-4年经验,大专,成都,9000.0
210,数据分析师/资深数据分析师（数据挖掘）,http://jobs.51job.com/shenzhen-nsq/92509516.html?s=01&t=0,卷皮网,深圳-南山区,1-2万/月,,,深圳,15000.0
211,数据分析师(in 腾讯）,http://jobs.51job.com/shenzhen-nsq/92504105.html?s=01&t=0,上海微创软件股份有限公司深圳分公司,深圳-南山区,6-8千/月,,本科,深圳,7000.0
212,数据分析专员/统计分析员,http://jobs.51job.com/shenzhen-ftq/92502993.html?s=01&t=0,划时零距电子（深圳）有限公司,深圳-福田区,5-9千/月,1年经验,大专,深圳,7000.0
213,数据分析\数据统计\数据处理,http://jobs.51job.com/shenzhen/92501455.html?s=01&t=0,深圳市小蚱蜢科技有限公司,深圳,5-6千/月,,大专,深圳,5500.0
214,商品数据分析员,http://jobs.51job.com/guangzhou-pyq/92499175.html?s=01&t=0,广州千千氏工艺品有限公司,广州-番禺区,0.8-1.5万/月,3-4年经验,,广州,11500.0
215,底薪6000起诚聘金融数据分析员+五险一金+福利待遇,http://jobs.51job.com/beijing-cyq/92498201.html?s=01&t=0,华壹信融投资管理（北京）有限责任公司,北京-朝阳区,6-8千/月,1年经验,大专,北京,7000.0
216,大数据分析工程师,http://jobs.51job.com/suzhou-gxq/92497825.html?s=01&t=0,苏州市伏泰信息科技股份有限公司,苏州-高新区,1-1.5万/月,2年经验,本科,苏州,12500.0
217,商品专员/数据分析专员,http://jobs.51job.com/guangzhou-byq/92496608.html?s=01&t=0,广州福豪服饰有限公司,广州-白云区,4-5千/月,2年经验,高中,广州,4500.0
218,数据分析专员（非销售性质）+双休,http://jobs.51job.com/tianjin-nkq/92492961.html?s=01&t=0,天津链家宝业房地产经纪有限公司,天津-南开区,4.5-6千/月,1年经验,本科,天津,5250.0
219,销售区域督导/数据分析/数据统计,http://jobs.51job.com/shanghai-pdxq/92490464.html?s=01&t=0,上海证大投资咨询有限公司,上海-浦东新区,6-8千/月,,大专,上海,7000.0
220,销售助理（数据分析）,http://jobs.51job.com/fuzhou/92490081.html?s=01&t=0,亨氏（中国）投资有限公司,福州,4.5-6千/月,,,福州,5250.0
221,数据分析师,http://jobs.51job.com/beijing-cyq/92490035.html?s=01&t=0,惠通嘉华集团,北京-朝阳区,1-1.5万/月,2年经验,本科,北京,12500.0
222,数据分析专员,http://jobs.51job.com/suzhou/92487651.html?s=01&t=0,吴中区城区御生堂顾秀芳中医诊所,苏州,2-3千/月,,,苏州,2500.0
223,风控数据分析师（优秀应届毕业生）,http://jobs.51job.com/beijing/92482526.html?s=01&t=0,北京无忧融创信息技术有限公司,北京,5-8千/月,,本科,北京,6500.0
224,数据分析实习生,http://jobs.51job.com/shanghai-pdxq/92481515.html?s=01&t=0,快钱支付清算信息有限公司北京分公司,上海-浦东新区,150元/天,,本科,上海,3262.0
225,数据分析员,http://jobs.51job.com/zhengzhou/92479881.html?s=01&t=0,郑州优果果业有限公司,郑州,2-4千/月,无工作经验,大专,郑州,3000.0
226,数据分析,http://jobs.51job.com/guangzhou-thq/92479794.html?s=01&t=0,广州神灯商务服务有限公司,广州-天河区,5-7千/月,1年经验,大专,广州,6000.0
227,数据分析师,http://jobs.51job.com/chengdu/92479777.html?s=01&t=0,深圳普惠快信金融服务有限公司,成都,6-7千/月,2年经验,本科,成都,6500.0
228,数据分析师,http://jobs.51job.com/nanjing/92475004.html?s=01&t=0,南京二月风信息科技有限公司,南京,3-4.5千/月,2年经验,本科,南京,3750.0
229,数据分析师岗(024230),http://jobs.51job.com/beijing/92473866.html?s=01&t=0,京东商城,北京,3-4万/月,,,北京,35000.0
230,数据分析员,http://jobs.51job.com/beijing-syq/92471287.html?s=01&t=0,北京广源嘉禾商贸有限公司,北京-顺义区,4.5-6千/月,1年经验,大专,北京,5250.0
231,数据分析师,http://jobs.51job.com/shanghai-sjq/92470382.html?s=01&t=0,台州欧兴铜业有限公司上海分公司,上海-松江区,6-8千/月,,大专,上海,7000.0
232,数据分析专员,http://jobs.51job.com/suzhou-gyyq/92360156.html?s=01&t=0,同程网络科技股份有限公司,苏州-工业园区,4-6千/月,,,苏州,5000.0
233,泸州老窖特曲-数据分析专员,http://jobs.51job.com/luzhou/92341377.html?s=01&t=0,泸州老窖特曲酒类销售股份有限公司,泸州,4.5-6千/月,1年经验,本科,泸州,5250.0
234,Facebook Twitter 社交媒体 站内推广 数据分析,http://jobs.51job.com/shanghai-pdxq/92339250.html?s=01&t=0,上海猎尚电子商务有限公司,上海-浦东新区,6-8千/月,3-4年经验,本科,上海,7000.0
235,数据分析师,http://jobs.51job.com/changsha-txq/92327412.html?s=01&t=0,湖南宽窄信息科技有限公司,长沙-天心区,0.6-1.2万/月,3-4年经验,大专,长沙,9000.0
236,数据分析师（工作地点：上海）,http://jobs.51job.com/shanghai-pdxq/92288858.html?s=01&t=0,有用分期,异地招聘,1-1.5万/月,2年经验,大专,异地招聘,12500.0
237,数据分析实习生,http://jobs.51job.com/shanghai-hpq/92225155.html?s=01&t=0,上海观山科技信息咨询有限公司,上海-黄浦区,135元/天,无工作经验,本科,上海,2936.0
238,数据分析师,http://jobs.51job.com/beijing-xcq/92221483.html?s=01&t=0,北京云房数据技术有限责任公司,北京-西城区,1-1.5万/月,,,北京,12500.0
239,金融数据分析师（懂SQL数据+数据审计）,http://jobs.51job.com/shenzhen-ftq/91852054.html?s=01&t=0,深圳巨灵信息技术有限公司,深圳-福田区,4-8千/月,1年经验,本科,深圳,6000.0
240,ERP软件开发/数据分析工程师,http://jobs.51job.com/shenzhen-lgq/91811110.html?s=01&t=0,中星中大印刷（深圳）有限公司,深圳-龙岗区,0.7-1.1万/月,3-4年经验,,深圳,9000.0
241,客服数据分析员,http://jobs.51job.com/shanghai-jaq/91684911.html?s=01&t=0,塔思琦（上海）商业有限公司,上海-静安区,4.5-6千/月,3-4年经验,大专,上海,5250.0
242,数据分析经理,http://jobs.51job.com/shanghai/91654672.html?s=01&t=0,上海驰尊电子商务有限公司,上海,1-1.5万/月,5-7年经验,,上海,12500.0
243,数据分析师,http://jobs.51job.com/shanghai-ptq/91584164.html?s=01&t=0,上海快友广告有限公司,上海-普陀区,1-1.5万/月,2年经验,本科,上海,12500.0
244,数据分析交易员（底薪6k-1.5k+双休+岗位分红）,http://jobs.51job.com/shenzhen-ftq/91497791.html?s=01&t=0,中汇富投资（深圳）有限公司,深圳-福田区,6-8千/月,无工作经验,大专,深圳,7000.0
245,金融数据分析师-北京-08138,http://jobs.51job.com/beijing-cyq/91399999.html?s=01&t=0,优信集团,北京-朝阳区,0.8-1.5万/月,2年经验,本科,北京,11500.0
246,大数据分析师,http://jobs.51job.com/shanghai-pdxq/91269454.html?s=01&t=0,尚励信息技术（上海）有限公司,上海-浦东新区,6-8千/月,,,上海,7000.0
247,资深数据分析师,http://jobs.51job.com/shanghai-ptq/91244352.html?s=01&t=0,拉扎斯网络科技（上海）有限公司,上海-普陀区,1.6-2.6万/月,3-4年经验,本科,上海,21000.0
248,数据分析师,http://jobs.51job.com/shanghai-mhq/91138098.html?s=01&t=0,上海唯都市场营销策划股份有限公司,上海-闵行区,0.7-1万/月,,本科,上海,8500.0
249,OBP/运营专员/数据分析,http://jobs.51job.com/nanjing-glq/90636535.html?s=01&t=0,爱上租网络科技南京有限公司,南京-鼓楼区,4-5千/月,1年经验,大专,南京,4500.0
250,数据分析师,http://jobs.51job.com/wuxi/91579443.html?s=01&t=0,上海志行合力网络技术有限公司,无锡,4.5-6千/月,,本科,无锡,5250.0
